material_ID,Materialkategorie,UUID-Nummer,material_name,ID-Nummer Entsorgung,Entsorgung,Rohdichte (kg/m3),Bezug,Total (UBP) ,Herstellung (UBP) ,Entsorgung (UBP) ,Primärenergie Gesamt Total (kWh oil-eq) ,Primärenergie Gesamt Herstellung (kWh oil-eq),Primärenergie Gesamt Herstellung energetisch genutzt (kWh oil-eq),Primärenergie Gesamt Herstellung stofflich genutzt (kWh oil-eq),Primärenergie Gesamt Entsorgung (kWh oil-eq),Primärenergie erneuerbar Total (kWh oil-eq),Primärenergie erneuerbar Herstellung Total (kwh oil-eq),Primärenergie erneuerbar Herstellung energetisch genutzt (kWh oil-eq),Primärenergie erneuerbar Herstellung stofflich genutzt (kWh oil-eq),Primärenergie Entsorgung (kWh oil-eq),Primärenergie nicht erneuerbar Total (kWh oil-eq),Primärenergie nicht erneuerbar Herstellung Total (kWh oil-eq),Primärenergie nicht erneuerbar Herstellung energetisch genutzt (kWh oil-eq),Primärenergie nicht erneuerbar Herstellung stofflich genutzt (kWh oil-eq),Primärenergie nicht erneuerbar Entsorgung (kWh oil-eq),Treibhausgasemissionen Total (kg CO2-eq),Treibhausgasemissionen Herstellung (kg CO2-eq),Treibhausgasemissionen Entsorgung (kg CO2-eq),Biogener Kohlenstoff im Produkt enthalten (kg C),Kommentar
0.001,,1C0034A0-2E93-4622-AB2F-B6C7BDC0A9A4,"Baugrubensicherung, Bohrpfahlwand, gespriesst",91.074,"Entsorgung, Baugrubensicherung, Bohrpfahlwand, gespriesst",,m2,,,,,,,,,,,,,,,,,,,,,,0,"siehe oben Position 00.001. Die publizierten Umweltkennwerte waren für diese Position um ca. 7 % zu hoch.
voir ci-dessus position 00.001. Les caractéristiques environnementales publiées étaient trop élevées d'environ 7 % pour cette position."
0.002,,EE35298F-D4F1-4FBF-8F21-914AC601204F,"Baugrubensicherung, Bohrpfahlwand, unverankert",91.075,"Entsorgung, Baugrubensicherung, Bohrpfahlwand, unverankert",,m2,,,,,,,,,,,,,,,,,,,,,,0,"siehe oben Position 00.001. Die publizierten Umweltkennwerte waren für diese Position um ca. 1 % zu hoch.
voir ci-dessus position 00.001. Les caractéristiques environnementales publiées étaient trop élevées d'environ 1 % pour cette position."
0.003,,E6266550-4DA7-4AC1-9967-35D378CCA917,"Baugrubensicherung, Bohrpfahlwand, verankert",91.076,"Entsorgung, Baugrubensicherung, Bohrpfahlwand, verankert",,m2,,,,,,,,,,,,,,,,,,,,,,0,"siehe oben Position 00.001. Die publizierten Umweltkennwerte waren für diese Position um ca. 1 % zu hoch.
voir ci-dessus position 00.001. Les caractéristiques environnementales publiées étaient trop élevées d'environ 1 % pour cette position."
0.004,,B49F5C35-D26E-4EBD-9736-51937285D583,"Baugrubensicherung, Nagelwand",91.077,"Entsorgung, Baugrubensicherung, Nagelwand",,m2,,,,,,,,,,,,,,,,,,,,,,0,"siehe oben Position 00.001. Die publizierten Umweltkennwerte waren für diese Position um ca. 1 % zu hoch.
voir ci-dessus position 00.001. Les caractéristiques environnementales publiées étaient trop élevées d'environ 1 % pour cette position."
0.005,,F0E2CA61-381A-42B0-9331-F3A3B092171A,"Baugrubensicherung, Rühlwand, auskragend",91.078,"Entsorgung, Baugrubensicherung, Rühlwand, auskragend",,m2,,,,,,,,,,,,,,,,,,,,,,0,"siehe oben Position 00.001. Die publizierten Umweltkennwerte waren für diese Position um ca. 5 % zu hoch.
voir ci-dessus position 00.001. Les caractéristiques environnementales publiées étaient trop élevées d'environ 5 % pour cette position."
0.006,,FB6C7A79-69B2-4F61-A8D9-FAD72DBB5ACD,"Baugrubensicherung, Rühlwand, gespriesst",91.079,"Entsorgung, Baugrubensicherung, Rühlwand, gespriesst",,m2,,,,,,,,,,,,,,,,,,,,,,0,"siehe oben Position 00.001. Die publizierten Umweltkennwerte waren für diese Position um ca. 5 % zu hoch.
voir ci-dessus position 00.001. Les caractéristiques environnementales publiées étaient trop élevées d'environ 5 % pour cette position."
0.007,,4E562FDF-A73E-4E7E-8C56-B7B5068A19EC,"Baugrubensicherung, Rühlwand, verankert",91.08,"Entsorgung, Baugrubensicherung, Rühlwand, verankert",,m2,,,,,,,,,,,,,,,,,,,,,,0,"siehe oben Position 00.001. Die publizierten Umweltkennwerte waren für diese Position um ca. 5 % zu hoch.
voir ci-dessus position 00.001. Les caractéristiques environnementales publiées étaient trop élevées d'environ 5 % pour cette position."
0.008,,F4CB3C0F-DD23-4821-9DAC-7CBFB57B2AD1,"Baugrubensicherung, Schlitzwand, 400 mm",91.081,"Entsorgung, Baugrubensicherung, Schlitzwand, 400mm",,m2,,,,,,,,,,,,,,,,,,,,,,0,"siehe oben Position 00.001. Die publizierten Umweltkennwerte waren für diese Position um ca. 5 % zu hoch.
voir ci-dessus position 00.001. Les caractéristiques environnementales publiées étaient trop élevées d'environ 5 % pour cette position."
0.009,,8F0DDE0F-57FE-4A5E-9A52-70803B0774C6,"Baugrubensicherung, Schlitzwand, 800 mm",91.082,"Entsorgung, Baugrubensicherung, Schlitzwand, 800mm",,m2,,,,,,,,,,,,,,,,,,,,,,0,"siehe oben Position 00.001. Die publizierten Umweltkennwerte waren für diese Position um ca. 7 % zu hoch.
voir ci-dessus position 00.001. Les caractéristiques environnementales publiées étaient trop élevées d'environ 7 % pour cette position."
0.01,,650E9E9A-4709-4780-BA84-460617AE70A0,"Baugrubensicherung, Spundwand, auskragend",91.083,"Entsorgung, Baugrubensicherung, Spundwand, auskragend",,m2,,,,,,,,,,,,,,,,,,,,,,0,"siehe oben Position 00.001. Die publizierten Umweltkennwerte waren für diese Position um ca. 1 % zu hoch.
voir ci-dessus position 00.001. Les caractéristiques environnementales publiées étaient trop élevées d'environ 1 % pour cette position."
